subjectID,sampleID,tissue,type,data
58223,SRR11684476,skin,normal,DNA
58223,SRR11684477,skin,tumor,DNA
54212,SRR11684474,skin,normal,DNA
54212,SRR11684475,skin,tumor,DNA
49108,SRR11684463,skin,normal,DNA
49108,SRR11684464,skin,normal,DNA
49108,SRR11684465,skin,normal,DNA
49108,SRR11684466,skin,normal,DNA
49108,SRR11684467,skin,normal,DNA
49108,SRR11684468,skin,normal,DNA
49108,SRR11684469,skin,tumor,DNA
49108,SRR11684470,skin,tumor,DNA
49108,SRR11684471,skin,tumor,DNA
49108,SRR11684472,skin,tumor,DNA
49108,SRR11684473,skin,tumor,DNA
44935,SRR11684453,skin,normal,DNA
44935,SRR11684454,skin,normal,DNA
44935,SRR11684455,skin,normal,DNA
44935,SRR11684456,skin,normal,DNA
44935,SRR11684457,skin,normal,DNA
44935,SRR11684458,skin,tumor,DNA
44935,SRR11684459,skin,tumor,DNA
44935,SRR11684460,skin,tumor,DNA
44935,SRR11684461,skin,tumor,DNA
44935,SRR11684462,skin,tumor,DNA
44716,SRR11684443,skin,normal,DNA
44716,SRR11684444,skin,normal,DNA
44716,SRR11684445,skin,normal,DNA
44716,SRR11684446,skin,normal,DNA
44716,SRR11684447,skin,normal,DNA
44716,SRR11684448,skin,tumor,DNA
44716,SRR11684449,skin,tumor,DNA
44716,SRR11684450,skin,tumor,DNA
44716,SRR11684451,skin,tumor,DNA
44716,SRR11684452,skin,tumor,DNA
39237,SRR11684441,skin,normal,DNA
39237,SRR11684442,skin,tumor,DNA
24028,SRR11684439,skin,normal,DNA
24028,SRR11684440,skin,tumor,DNA
21975,SRR11684437,skin,normal,DNA
21975,SRR11684438,skin,tumor,DNA
14894,SRR11684427,skin,normal,DNA
14894,SRR11684428,skin,normal,DNA
14894,SRR11684429,skin,normal,DNA
14894,SRR11684430,skin,normal,DNA
14894,SRR11684431,skin,normal,DNA
14894,SRR11684432,skin,tumor,DNA
14894,SRR11684433,skin,tumor,DNA
14894,SRR11684434,skin,tumor,DNA
14894,SRR11684435,skin,tumor,DNA
14894,SRR11684436,skin,tumor,DNA
13097,SRR11684417,skin,normal,DNA
13097,SRR11684418,skin,normal,DNA
13097,SRR11684419,skin,normal,DNA
13097,SRR11684420,skin,normal,DNA
13097,SRR11684421,skin,normal,DNA
13097,SRR11684422,skin,tumor,DNA
13097,SRR11684423,skin,tumor,DNA
13097,SRR11684424,skin,tumor,DNA
13097,SRR11684425,skin,tumor,DNA
13097,SRR11684426,skin,tumor,DNA
