sampleid,sibship,tissue,sex,dataset
SRR3877321,12,ak,female,Tsai
SRR3877320,10,scc,male,Tsai
SRR3877319,10,ak,male,Tsai
SRR3877318,10,ns,male,Tsai
SRR3877317,8,scc,male,Tsai
SRR3877316,8,ak,male,Tsai
SRR3877315,8,ns,male,Tsai
SRR3877314,6,scc,male,Tsai
SRR3877313,6,ak,male,Tsai
SRR3877312,6,ns,male,Tsai
SRR3877311,5,scc,male,Tsai
SRR3877310,5,ak,male,Tsai
SRR3877309,5,ns,male,Tsai
SRR3877308,4,scc,female,Tsai
SRR3877307,4,scc,female,Tsai
SRR3877306,4,ak,female,Tsai
SRR3877305,4,ak,female,Tsai
SRR3877304,4,ns,female,Tsai
SRR3877303,3,scc,male,Tsai
SRR3877302,3,ak,male,Tsai
SRR3877301,3,ns,male,Tsai
SRR3877300,2,scc,male,Tsai
SRR3877299,2,ak,male,Tsai
SRR3877298,2,ns,male,Tsai
SRR3877297,1,ak,male,Tsai
