subjectID,sampleID,tissue,type,data
XPC5,SRR2194554,skin,normal,DNA
XPC5,SRR2194574,skin,tumor,DNA
XPC4,SRR2194578,skin,normal,DNA
XPC4,SRR2194573,skin,tumor,DNA
XPC3,SRR2194577,skin,normal,DNA
XPC3,SRR2194572,skin,tumor,DNA
XPC2,SRR2194576,skin,normal,DNA
XPC2,SRR2194564,skin,tumor,DNA
XPC1,SRR2194575,skin,normal,DNA
XPC1,SRR2194553,skin,tumor,DNA
WT9,SRR2194567,skin,normal,DNA
WT9,SRR2194558,skin,tumor,DNA
WT8,SRR2194566,skin,normal,DNA
WT8,SRR2194557,skin,tumor,DNA
WT7,SRR2194565,skin,normal,DNA
WT7,SRR2194556,skin,tumor,DNA
WT6,SRR2194563,skin,normal,DNA
WT6,SRR2194555,skin,tumor,DNA
WT13,SRR2194571,skin,normal,DNA
WT13,SRR2194562,skin,tumor,DNA
WT12,SRR2194570,skin,normal,DNA
WT12,SRR2194561,skin,tumor,DNA
WT11,SRR2194569,skin,normal,DNA
WT11,SRR2194560,skin,tumor,DNA
WT10,SRR2194568,skin,normal,DNA
WT10,SRR2194559,skin,tumor,DNA
